target,horizon,fold,family,zone_id,n,mae,mase,sat_wmae,bias
occupancy,1,0,last_observation,699,336,0.809524,0.295889,0.791045,-0.00595238
occupancy,1,0,last_observation,700,336,1.5,0.341042,1.47397,0
occupancy,1,0,last_observation,701,336,0.309524,0.236934,0.337748,0
occupancy,1,0,last_observation,703,336,4.87202,0.396863,4.75935,0.0208333
occupancy,1,0,last_observation,704,336,3.5,0.353072,3.64653,0.0119048
occupancy,1,0,last_observation,705,336,0.842262,0.311059,0.848736,-0.00297619
occupancy,1,0,last_observation,706,336,0.755952,0.308044,0.743309,-0.00595238
occupancy,1,0,last_observation,708,336,3.83929,1.22737,4.22616,-0.00595238
occupancy,1,0,last_observation,709,336,0.738095,0.293941,0.764578,0
occupancy,1,0,last_observation,710,336,0.97619,0.31978,0.966426,0.0178571
occupancy,1,0,last_observation,711,336,0.514881,0.290054,0.504503,0.00892857
occupancy,1,0,last_observation,712,336,1.31845,0.431119,1.31571,-0.00297619
occupancy,1,0,last_observation,715,336,1.30952,0.566581,1.35528,-0.00595238
occupancy,1,0,last_observation,716,336,2.80655,0.316887,2.87503,-0.0327381
occupancy,1,0,last_observation,718,336,0.383929,0.469342,0.387281,-0.00297619
occupancy,1,0,last_observation,719,336,0.375,0.280863,0.346439,-0.00595238
occupancy,1,0,last_observation,724,336,2.16071,0.419347,2.14961,-0.0238095
occupancy,1,0,last_observation,728,336,0.482143,0.292948,0.4779,-0.0119048
occupancy,1,0,last_observation,729,336,1.44048,0.574501,1.41314,0
occupancy,1,0,last_observation,731,336,2.33929,0.626574,2.46749,-0.0238095
occupancy,1,0,last_observation,732,336,0.291667,0.43871,0.313993,-0.00595238
occupancy,1,0,last_observation,733,336,2.26786,0.181357,1.9808,0.00595238
occupancy,1,0,last_observation,737,336,0.717262,0.396535,0.729389,0.00297619
occupancy,1,0,last_observation,741,336,0.785714,0.316614,0.769403,0.0119048
occupancy,1,0,last_observation,744,336,1.33929,0.297417,1.39308,-0.0119048
occupancy,1,0,last_observation,745,336,0.681548,0.365043,0.678703,-0.00892857
occupancy,1,0,last_observation,746,336,3.21429,0.446102,3.34377,0.00595238
occupancy,1,0,last_observation,751,336,1.41071,0.292725,1.38776,-0.0178571
occupancy,1,0,last_observation,771,336,1.48512,0.574068,1.46352,-0.00892857
occupancy,1,0,last_observation,773,336,1.7619,0.498341,1.87114,-0.00595238
occupancy,1,0,last_observation,775,336,3.87798,0.945452,3.84192,0.0208333
occupancy,1,0,last_observation,777,336,16.7232,1.22618,19.2684,-0.169643
occupancy,1,0,last_observation,781,336,1.2381,0.440692,1.24541,-0.0119048
