target,horizon,fold,family,hour_of_day,n,mae,mase
occupancy,1,0,zone_gbm,21,3850,1.9438,0.541708
occupancy,1,0,zone_gbm,22,3850,1.77426,0.508272
occupancy,1,0,zone_gbm,23,3850,1.78672,0.498283
occupancy,1,0,global_ridge,0,3850,2.76856,0.68377
occupancy,1,0,global_ridge,1,3850,2.37545,0.590101
occupancy,1,0,global_ridge,2,3850,1.41959,0.389991
occupancy,1,0,global_ridge,3,3850,1.33507,0.352842
occupancy,1,0,global_ridge,4,3850,1.27379,0.324441
occupancy,1,0,global_ridge,5,3850,1.38043,0.345523
occupancy,1,0,global_ridge,6,3850,1.45089,0.372403
occupancy,1,0,global_ridge,7,3850,1.58058,0.407373
occupancy,1,0,global_ridge,8,3850,2.82575,0.653058
occupancy,1,0,global_ridge,9,3850,2.94382,0.749123
occupancy,1,0,global_ridge,10,3850,2.25374,0.621418
occupancy,1,0,global_ridge,11,3850,1.9103,0.532291
occupancy,1,0,global_ridge,12,3850,1.87885,0.511939
occupancy,1,0,global_ridge,13,3850,2.01448,0.52335
occupancy,1,0,global_ridge,14,3850,1.81743,0.480009
occupancy,1,0,global_ridge,15,3850,1.7851,0.461637
occupancy,1,0,global_ridge,16,3850,1.92985,0.493321
occupancy,1,0,global_ridge,17,3850,1.79632,0.489755
occupancy,1,0,global_ridge,18,3850,1.96998,0.528902
occupancy,1,0,global_ridge,19,3850,2.37065,0.618878
occupancy,1,0,global_ridge,20,3850,2.26072,0.595277
occupancy,1,0,global_ridge,21,3850,1.99622,0.537985
occupancy,1,0,global_ridge,22,3850,1.8598,0.519271
occupancy,1,0,global_ridge,23,3850,1.71878,0.488861
occupancy,1,0,global_gbm,0,3850,2.82584,0.671481
occupancy,1,0,global_gbm,1,3850,1.60997,0.404413
occupancy,1,0,global_gbm,2,3850,1.21586,0.301274
occupancy,1,0,global_gbm,3,3850,1.16136,0.282157
occupancy,1,0,global_gbm,4,3850,1.10791,0.264168
occupancy,1,0,global_gbm,5,3850,1.20747,0.279329
occupancy,1,0,global_gbm,6,3850,1.2375,0.285894
occupancy,1,0,global_gbm,7,3850,1.40385,0.336139
occupancy,1,0,global_gbm,8,3850,2.39686,0.595341
occupancy,1,0,global_gbm,9,3850,2.56371,0.686144
occupancy,1,0,global_gbm,10,3850,1.92952,0.511691
occupancy,1,0,global_gbm,11,3850,1.68554,0.429965
